icao;iata;nome;state;country;continent;coordinates
SBTF;TFF;Tefé;AM;BRASIL;AMÉRICA DO SUL;-64.7240982056, -3.38294005394
SNTO;TFL;Juscelino Kubitscheck;MG;BRASIL;AMÉRICA DO SUL;-41.51359939575195, -17.89229965209961
GCXO;TFN;Tenerife Norte;;ESPANHA;EUROPA;-16.3414993286, 28.4827003479
GCTS;TFS;Tenerife South;;ESPANHA;EUROPA;-16.5725002289, 28.044500351
SWTS;TGQ;Tangará da Serra;MT;BRASIL;AMÉRICA DO SUL;-57.4435005188, -14.661999702500001
SBTE;THE;Senador Petrônio Portela;PI;BRASIL;AMÉRICA DO SUL;-42.8235015869, -5.0599398613
MMTO;TLC;Licenciado Adolfo Lopez Mateos International;;MÉXICO;AMÉRICA DO NORTE;-99.56600189210002, 19.3370990753
LFBO;TLS;Toulouse-Blagnac;;FRANÇA;EUROPA;1.36382, 43.629101
LLBG;TLV;Ben Gurion International;;ISRAEL;ÁSIA;34.88669967651367, 32.01139831542969
SBTB;TMT;Trombetas;PA;BRASIL;AMÉRICA DO SUL;-56.396800994873, -1.489599943161
SBTD;TOW;Toledo;PR;BRASIL;AMÉRICA DO SUL;-53.697498, -24.6863
KTPA;TPA;Tampa International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-82.533203125, 27.975500106811523
SANT;TUC;Teniente Benjamin Matienzo;;ARGENTINA;AMÉRICA DO SUL;-65.104897, -26.8409
SBTU;TUR;Tucuruí;PA;BRASIL;AMÉRICA DO SUL;-49.72029876709, -3.7860100269318
KTUS;TUS;Tucson International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-110.938053, 32.115004
SNTF;TXF;9 de Maio - Teixeira de Freitas;BA;BRASIL;AMÉRICA DO SUL;-39.66849899292, -17.524499893188
SANU;UAQ;Domingo Faustino Sarmiento;;ARGENTINA;AMÉRICA DO SUL;-68.418198, -31.571501
SBUR;UBA;Mário de Almeida Franco;MG;BRASIL;AMÉRICA DO SUL;-47.966110229492, -19.764722824097
SDUB;UBT;Ubatuba;SP;BRASIL;AMÉRICA DO SUL;-45.075599670410156, -23.441099166870117
SBUL;UDI;Ten. Cel. Aviador César Bombonato;MG;BRASIL;AMÉRICA DO SUL;-48.225277, -18.883612
SEQM;UIO;Mariscal Sucre International;;EQUADOR;AMÉRICA DO SUL;-78.3575, -0.129166666667
UWLW;ULY;Ulyanovsk East;;RÚSSIA;EUROPA;48.80270004272461, 54.4010009765625
SBTC;UNA;Hotel Transamérica;BA;BRASIL;AMÉRICA DO SUL;-38.9990005493, -15.355199813799999
SBUG;URG;Rubem Berta;RS;BRASIL;AMÉRICA DO SUL;-57.0382003784, -29.7821998596
UIUU;UUD;Ulan-Ude (Mukhino);;RÚSSIA;EUROPA;107.43800354003906, 51.80780029296875
SBVG;VAG;Major Brigadeiro Trompowsky;MG;BRASIL;AMÉRICA DO SUL;-45.4733009338, -21.5900993347
SNVB;VAL;Valença;BA;BRASIL;AMÉRICA DO SUL;-38.992401, -13.2965
SBKP;VCP;Viracopos International;SP;BRASIL;AMÉRICA DO SUL;-47.1344985962, -23.0074005127
KVCV;VCV;Southern California Logistics;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-117.383003235, 34.597499847399995
SVVG;VIG;Juan Pablo PÃ©rez Alfonso;;VENEZUELA;AMÉRICA DO SUL;-71.672668, 8.624139
SBVT;VIX;Eurico de Aguiar Salles;ES;BRASIL;AMÉRICA DO SUL;-40.286388, -20.258057
UUWW;VKO;Vnukovo International;;RÚSSIA;EUROPA;37.2615013123, 55.5914993286
LEVC;VLC;Valencia;;ESPANHA;EUROPA;-0.481625, 39.4893
SVVA;VLN;Arturo Michelena International;;VENEZUELA;AMÉRICA DO SUL;-67.92839813232422, 10.14973258972168
KVQQ;VQQ;Cecil;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-81.876701355, 30.2187004089
MMVA;VSA;Carlos Rovirosa PÃ©rez International;;MÉXICO;AMÉRICA DO NORTE;-92.81739807128906, 17.996999740600586
SLVR;VVI;Viru Viru International;;BOLÍVIA;AMÉRICA DO SUL;-63.135399, -17.6448
EPWA;WAW;Warsaw Chopin;;POLONIA;EUROPA;20.967100143399996, 52.1656990051
FYWB;WVB;Walvis Bay;;NAMÁBIA;ÁFRICA;14.6453, -22.9799
SBCH;XAP;Serafin Enoss Bertaso;SC;BRASIL;AMÉRICA DO SUL;-52.656600952148, -27.134199142456
LFOK;XCR;ChÃ¢lons-Vatry;;FRANÇA;EUROPA;4.206111111, 48.7733333333
EDHI;XFW;Hamburg-Finkenwerder;;ALEMANHA;EUROPA;9.835556030273438, 53.5352783203125
ZSAM;XMN;Xiamen Gaoqi International;;CHINA;ÁSIA;118.12799835205078, 24.54400062561035
CYHN;YHN;Hornepayne Municipal;;CANADÁ;AMÉRICA DO NORTE;-84.75890350341797, 49.19309997558594
CYMX;YMX;Montreal International (Mirabel);;CANADÁ;AMÉRICA DO NORTE;-74.038696, 45.679501
CYOW;YOW;Ottawa Macdonald-Cartier International;;CANADÁ;AMÉRICA DO NORTE;-75.66919708251953, 45.3224983215332
CYQX;YQX;Gander International;;CANADÁ;AMÉRICA DO NORTE;-54.56809997558594, 48.9369010925293
CYUL;YUL;Montreal / Pierre Elliott Trudeau International;;CANADÁ;AMÉRICA DO NORTE;-73.7407989502, 45.4706001282
CYVR;YVR;Vancouver International;;CANADÁ;AMÉRICA DO NORTE;-123.183998108, 49.193901062
CYYL;YYL;Lynn Lake;;CANADÁ;AMÉRICA DO NORTE;-101.07599639892578, 56.86389923095703
CYYZ;YYZ;Lester B. Pearson International;;CANADÁ;AMÉRICA DO NORTE;-79.63059997559999, 43.6772003174
LEZG;ZAZ;Zaragoza Air Base;;ESPANHA;EUROPA;-1.0415500402450562, 41.66619873046875
LSZH;ZRH;Zürich International;;SUÁÇA;EUROPA;8.54917, 47.464699
