airport_iata,airport_icao,lat,lon,name,city,country
LIG,LFBL,45.8615,1.1779,Bellegarde Airport,Limoges,France
MRS,LFML,43.4411,5.22087,Marignane Airport,Marignane,France
MPL,LFMT,43.5807,3.96039,Frejorgues Airport,Mauguio,France
BOD,LFBD,44.8291,-0.70278,Bordeaux Airport,Merignac,France
NCE,LFMN,43.6638,7.21286,Nice-Cote d'Azur Airport,Nice,France
ORY,LFPO,48.7261,2.36411,Paris Orly Airport,Paris,France
PGF,LFMP,42.74,2.8692,Rivesaltes Airport,Perpignan,France
DNR,LFRD,48.589,-2.07757,Pleurtuit Airport,Pleurtuit,France
LRT,LFRH,47.7545,-3.43763,Lann Bihoue Airport,Ploemeur,France
NCY,LFLP,45.931,6.10666,Meythet Airport,Pringy,France
ANE,LFRA,47.5603,-0.312222,Aéroport d'Angers-Marcé,Seiches-sur-le-Loir,France
GNB,KGNB,45.3614,5.33214,St Geoirs Airport,Sillans,France
FNI,LFTW,43.7618,4.42092,Garons Airport,St-Gilles-du-Gard,France
RNS,LFRN,48.0686,-1.72536,St Jacques Airport,St-Jacques,France
BSL,LFSB,47.5998,7.532,Euroairport Basel-Mulhouse-Freiburg,St-Ludwig,France
PGX,LFBX,45.1951,0.81208,Bassillac Airport,St-Pierre,France
TUF,LFOT,47.428,0.72414,St Symphorien Airport,Tours,France
BZR,LFMU,43.3229,3.35466,Vias Airport,Villeneuve,France
PIS,LFBI,46.5859,0.31135,Biard Airport,Vouneuil-sous-Biard,France
CAY,SOCA,4.93333,-52.3333,Rochambeau,Cayenne,French Guiana
PPT,NTAA,-17.5578,-149.611,Tahiti Faaa Airport,Papeete,French Polynesia
AOC,EDAC,50.9794,12.5111,Altenburg Nobitz,Altenburg,Germany
TXL,EDDT,52.5548,13.289,Berlin-Tegel International Airport,Berlin,Germany
THF,EDDI,52.4825,13.3892,Tempelhof Central Airport,Berlin,Germany
BFE,KBFE,52,8.5,Bielefeld,Bielefeld,Germany
BWE,EDVE,52.3165,10.5595,Braunschweig Airport,Braunschweig,Germany
BRE,EDDW,53.0523,8.78533,Bremen Airport,Bremen,Germany
PAD,EDLP,51.6126,8.61871,Paderborn-Lippstadt Airport,Büren,Germany
CGN,EDDK,50.8784,7.12293,Cologne Bonn Airport,Cologne,Germany
HHN,EDFH,49.9454,7.26851,Frankfurt-Hahn Airport,Dickenschied,Germany
DTM,EDLW,51.5123,7.60451,Dortmund Airport,Dortmund,Germany
DUS,EDDL,51.2794,6.76481,Dusseldorf International Airport,Dusseldorf,Germany
ERF,EDDE,50.9754,10.9626,Erfurt Airport,Erfurt,Germany
FRA,EDDF,50.0483,8.57041,Frankfurt International Airport,Frankfurt,Germany
